CONCEPTO,MONTO,PLANTA,DEPARTAMENTO
Imss Costo Concreto P1,7997.51,P001,PRODUCCION
Imss Costo Camion P1,15047.42,P001,PRODUCCION
Imss CCR P2,16398,P002,PRODUCCION
Imss CC P2,5879.07,P002,PRODUCCION
Imss CCR P3,6284.76,P003,PRODUCCION
Imss CC P3,5038.8,P003,PRODUCCION
Casetas viales P1,3240.54,P001,VENTAS
Uniformes de Trabajo P1,3672.74,P001,PRODUCCION
Renta de CR P1,285678,P001,PRODUCCION
Arrendamiento Leasing P1,8411.2,P001,ADMINISTRACION
Renta de Maquinaria P2,436808.15,P002,PRODUCCION
Uniformes de Trabajo P2,10263.22,P002,PRODUCCION
Renta de Terreno P2,65000,P002,PRODUCCION
Renta de Maquinaria P3,840000,P003,PRODUCCION
Casetas viales P4,4333.21,P004P,VENTAS
Servicio de Grua P5,15000,P005,MANTENIMIENTO
Arrendamiento Leasing P5,24974.86,P005,ADMINISTRACION
Imss Admon P1,23313,P001,ADMINISTRACION
Dominio Correo P1,5460,P001,ADMINISTRACION
Atencion al Personal P1,22292.68,P001,ADMINISTRACION
Licencias de Sistemas P1,11907,P001,ADMINISTRACION
Soporte de Sistemas P1,65862.06,P001,ADMINISTRACION
Papeleria P1,4949.15,P001,ADMINISTRACION
Viaticos P1,8618.21,P001,ADMINISTRACION
Telefonia e Internet P1,15119.35,P001,ADMINISTRACION
Honorarios P1,29387.74,P001,ADMINISTRACION
Paqueteria y Envios P1,1642.69,P001,ADMINISTRACION
Agua de Garrafon P1,1872,P001,PRODUCCION
Impuestos y Derechos P1,18309,P001,ADMINISTRACION
Articulos de Limpieza P1,2058.14,P001,ADMINISTRACION
Gastos No deducibles P1,18845.05,P001,ADMINISTRACION
Combustibles y Gasolina P1,16040.78,P001,ADMINISTRACION
Seguros y Fianzas P1,93578.48,P001,ADMINISTRACION
Renta de Equipo de Impresion P1,6000,P001,ADMINISTRACION
Imss Admon P2,15079.79,P002,ADMINISTRACION
Atencion al Personal P2,30001.98,P002,ADMINISTRACION
Licencias de Sistemas P2,11907,P002,ADMINISTRACION
Papeleria P2,4451.86,P002,ADMINISTRACION
Viaticos P2,29495.33,P002,ADMINISTRACION
Arrendamientos P2,55105.37,P002,ADMINISTRACION
Telefonia e Internet P2,4558.21,P002,ADMINISTRACION
Paqueteria y Envios P2,235,P002,ADMINISTRACION
Agua de Garrafon P2,425,P002,PRODUCCION
Gastos no Deducibles P2,10030.81,P002,ADMINISTRACION
Articulos de limpieza P2,627.77,P002,ADMINISTRACION
Combustible y Gasolina P2,54473.6,P002,ADMINISTRACION
Imss Admon P3,16129.13,P003,ADMINISTRACION
Atencion al Personal P3,2877.31,P003,ADMINISTRACION
Licencias de Sistemas P3,11907,P003,ADMINISTRACION
Arrendamientos P3,34856.12,P003,ADMINISTRACION
Telefonia e Internet P3,3450.43,P003,ADMINISTRACION
Agua de Garrafon P3,284,P003,PRODUCCION
Imss Admon P4,4259.28,P004P,ADMINISTRACION
Atencion al Personal P4,342.79,P004P,ADMINISTRACION
Licencias de Sistemas P4,11907,P004P,ADMINISTRACION
Papeleria P4,34.48,P004P,ADMINISTRACION
Combustible y Gasolina P4,21736.64,P004P,ADMINISTRACION
Renta de Baños P4,2800,P004P,PRODUCCION
Atencion al Personal P5,46435.97,P005,ADMINISTRACION
Viaticos P5,473.8,P005,ADMINISTRACION
Telefonia e Internet P5,4013.35,P005,ADMINISTRACION
Tramites Legales P5,65000,P005,ADMINISTRACION
Combustibles y Gasolina P5,120558.01,P005,ADMINISTRACION
Renta de Baños P5,2800,P005,PRODUCCION
Imss Ventas P1,1978.64,P001,VENTAS
Gastos de Venta P1,50464.89,P001,VENTAS
Publicidad P1,13500,P001,VENTAS
Combustible de Ventas P1,25964.08,P001,VENTAS
RENTA DE MARZO TERRENO LAVADO DE OLLAS P1,5000,P001,PRODUCCION
DADIVA A GUARDIA NACIONAL MAR 26 P1,5000,P001,ADMINISTRACION
"EFECTIVO ENTREGADO PARA BAJADA DE CR 10,17,22, BP01 Y L200 TJ P004P",63500,P002,PRODUCCION
PAGO DE 10 VIAJES DE AGUA P004P,4000,P004P,PRODUCCION
RECIBO DE HONORARIOS DE LIC CASO EMILIANO MUÑOZ P1,15000,P001,ADMINISTRACION
RENTA DE TERRENO P004P,15000,P004P,PRODUCCION
REP CJA MARIO PEREZ GONZALEZ P004P,2732,P004P,ADMINISTRACION
REP CJA MARIO PEREZ GONZALEZ P5,13013.17,P005,ADMINISTRACION
ESTACIONAMIENTO ABELARDO P1,23,P001,ADMINISTRACION
46 VIAJEAS DE AGUA POZO NAPOLES P1,7360,P001,PRODUCCION
REPOSICION DE VIATICOS TRASLADO CR TIJUANA P5,3000,P005,ADMINISTRACION
DADIVA A GUARDIA NACIONAL MAR 26 P5 y 4,5000,P005,ADMINISTRACION
ALMUERZO DEL 05 MAR  P1,1150,P001,ADMINISTRACION
PLANO DE P5,2000,P005,PRODUCCION
GUARDIA NACIONAL LOS MOCHIS SINALOA TRASLASDO CRS Y BP01,6000,TJ,ADMINISTRACION
PAGO DE 2 VOLTEO LIMPIEZA P1,3000,P001,PRODUCCION
DADIVA A GUARDIA NACIONAL SINALOA TRASLADO DE CR  ,4000,TJ,ADMINISTRACION
LABAÑILERIA DE P5,15000,P005,PRODUCCION
RENTA CAMPAMENTO VILLA DE REYES P5,20000,P005,ADMINISTRACION
RENTA CAMPAMENTO SILAO P1,2000,P001,ADMINISTRACION
RENTA DE TERRENO PARA GUARDAR MAQUINARIA Y CAMIONES P5,6000,P005,PRODUCCION
PAGO DE BOMBEO A ADRIAN P1,25220,P001,PRODUCCION
REPOSICION DE GASTOS DE CAMPAMENTOS TH TJ,1820,TJ,ADMINISTRACION
9 VIAJES DE AGUA P004P,3750,P004P,PRODUCCION
